FileName,EmoClass,EmoAct,EmoVal,EmoDom,SpkrID,Gender,Split_Set
001-105.1-2_14.wav,N,3.4,3.6,3.6,Unknown,Unknown,NA
004-017.1-2_14.wav,N,4.222222,3.888889,4.333333,Unknown,Unknown,NA
004-017.1-2_2.wav,X,4.4,4.6,4.2,Unknown,Unknown,NA
004-017.1-2_40.wav,N,4.4,3.4,4.2,Unknown,Unknown,NA
005-050.1-2_15.wav,N,2.4,3.4,4.4,Unknown,Unknown,NA
005-050.1-2_23.wav,X,4.4,3.2,4.2,Unknown,Unknown,NA
005-121.1-2_10.wav,H,3.4,5.2,4.8,Unknown,Unknown,NA
005-121.1-2_32.wav,X,4.6,2.6,4.8,Unknown,Unknown,NA
005-121.1-2_44.wav,H,4.4,5.2,4.2,Unknown,Unknown,NA
006-040.1-2_13.wav,H,4.2,4.8,5.0,Unknown,Unknown,NA
006-138.1-2_8.wav,S,2.4,3.0,4.0,Unknown,Unknown,NA
007-036.1-2_26.wav,N,2.6,4.0,4.2,Unknown,Unknown,NA
007-036.1-2_32.wav,N,4.0,4.0,4.2,Unknown,Unknown,NA
007-036.1-2_41.wav,N,3.8,4.6,4.6,Unknown,Unknown,NA
009-015.1-2_1.wav,A,4.6,3.6,4.6,Unknown,Unknown,NA
009-019.1-2_6.wav,X,3.4,2.6,5.0,Unknown,Unknown,NA
009-021.1-2_17.wav,N,4.4,3.2,5.0,Unknown,Unknown,NA
009-052.1-2_29.wav,N,2.8,3.0,3.4,Unknown,Unknown,NA
009-052.1-2_6.wav,N,4.0,3.8,4.0,Unknown,Unknown,NA
009-122.1-2_151.wav,N,3.6,3.4,3.8,Unknown,Unknown,NA
009-122.1-2_2.wav,N,4.4,3.8,4.8,Unknown,Unknown,NA
010-064.1-2_17.wav,X,3.8,4.6,4.8,Unknown,Unknown,NA
012-003.1-2_12.wav,N,3.8,3.4,4.8,Unknown,Unknown,NA
012-003.1-2_3.wav,O,4.6,2.8,4.0,Unknown,Unknown,NA
012-003.1-2_40.wav,N,3.4,4.0,3.2,Unknown,Unknown,NA
012-003.1-2_60.wav,H,4.6,5.0,4.8,Unknown,Unknown,NA
012-003.1-2_63.wav,H,4.4,5.4,4.6,Unknown,Unknown,NA
012-003.1-2_77.wav,H,4.0,4.6,4.4,Unknown,Unknown,NA
012-117.1-2_30.wav,N,3.4,3.4,3.8,Unknown,Unknown,NA
012-126.1-2_39.wav,X,4.4,3.2,5.0,Unknown,Unknown,NA
012-126.1-2_41.wav,N,3.6,3.8,3.4,Unknown,Unknown,NA
013-077.1-2_17.wav,N,3.6,3.6,3.4,Unknown,Unknown,NA
013-077.1-2_33.wav,N,3.6,4.0,4.4,Unknown,Unknown,NA
013-077.1-2_9.wav,N,3.0,3.6,4.2,Unknown,Unknown,NA
